No;BF cement 2%;BF cement 4%;BF cement 6%;BF cement 8%;BF cement 10%;BF cement 12%;fos1;fos2;fos3;fos4;fos5;fos6;fos7;fos8;fos9;fos10;fos11;fos12;disp1;pos1;disp2;pos2;disp3;pos3;disp4;pos4;disp5;pos5;disp6;pos6;disp7;pos7;disp8;pos8;disp9;pos9;disp10;pos10;disp11;pos11;disp12;pos12
0;12;12;12;12;12;12;3.9921875;3.3359375;2.6015625;2.3046875;2.1015625;1.94921875;1.83984375;1.74609375;1.67578125;1.62890625;1.58984375;1.52734375;0.012959543;"0.0;0.0";0.015118936;"0.0;0.0";0.015202227;"0.0;0.0";0.015462746;"0.0;7.0";0.015650376;"0.0;7.0";0.01592391;"0.0;7.0";0.017009589;"0.0;7.0";0.018241934;"0.0;7.0";0.020863129;"7.0;54.0";0.02560629;"9.0;60.0";0.029381347;"11.0;70.0";0.032508147;"14.0;72.0"
1;14;12;12;12;12;10;4.015625;3.2578125;2.5703125;2.2734375;2.0859375;1.93359375;1.81640625;1.73046875;1.66015625;1.58984375;1.48046875;1.39453125;0.013090365;"0.0;0.0";0.015250531;"0.0;0.0";0.015347729;"0.0;1.0";0.015451758;"0.0;7.0";0.015635692;"0.0;7.0";0.015904431;"0.0;7.0";0.016984371;"0.0;7.0";0.018211578;"0.0;7.0";0.020827965;"7.0;54.0";0.025626957;"9.0;60.0";0.029442774;"11.0;69.0";0.032572884;"14.0;72.0"
2;16;12;12;12;12;8;3.9765625;3.1640625;2.5390625;2.2421875;2.0546875;1.91015625;1.80078125;1.70703125;1.63671875;1.48828125;1.35546875;1.27734375;0.012954886;"0.0;0.0";0.015109238;"0.0;0.0";0.015195165;"0.0;0.0";0.015268278;"0.0;0.0";0.015426817;"0.0;0.0";0.015676442;"0.0;0.0";0.016683126;"0.0;7.0";0.017905178;"0.0;7.0";0.020760207;"7.0;54.0";0.025579821;"9.0;61.0";0.029487208;"11.0;69.0";0.032640052;"14.0;72.0"
3;18;12;12;12;12;6;3.8828125;3.0859375;2.4921875;2.2109375;2.0078125;1.87109375;1.76171875;1.68359375;1.54296875;1.36328125;1.25390625;1.18359375;0.01295824;"0.0;0.0";0.015117567;"0.0;0.0";0.015203663;"0.0;0.0";0.015417518;"0.0;7.0";0.015596191;"0.0;7.0";0.015851141;"0.0;7.0";0.016900857;"0.0;7.0";0.018110982;"0.0;7.0";0.020728183;"7.0;54.0";0.025542785;"9.0;61.0";0.029699847;"11.0;70.0";0.032940852;"14.0;72.0"
4;17;12;12;12;12;7;3.8671875;3.1328125;2.5234375;2.2265625;2.0390625;1.89453125;1.78515625;1.69140625;1.58984375;1.42578125;1.30078125;1.23046875;0.013088932;"0.0;0.0";0.015248841;"0.0;0.0";0.015334017;"0.0;0.0";0.015448547;"0.0;7.0";0.01563284;"0.0;7.0";0.015888222;"0.0;7.0";0.016946392;"0.0;7.0";0.01815785;"0.0;7.0";0.020741256;"7.0;54.0";0.025569563;"9.0;61.0";0.02957253;"11.0;70.0";0.032820876;"14.0;72.0"
5;16.5;12;12;12;12;7.5;3.9765625;3.0546875;2.5234375;2.2421875;2.0546875;1.90234375;1.79296875;1.70703125;1.61328125;1.45703125;1.30078125;1.23046875;0.012489618;"0.0;0.0";0.014964683;"0.0;0.0";0.015071455;"0.0;0.0";0.015266282;"0.0;6.5";0.015435475;"0.0;6.5";0.01568106;"0.0;6.5";0.016644685;"0.0;6.5";0.017835876;"0.0;6.5";0.020162438;"7.0;53.0";0.025133135;"8.5;60.0";0.029257342;"11.0;69.5";0.032917025;"15.0;72.0"
6;16;14;12;12;12;6;3.8828125;3.0859375;2.4921875;2.2109375;2.0078125;1.87109375;1.76171875;1.67578125;1.54296875;1.41796875;1.30859375;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015425941;"0.0;0.0";0.015676736;"0.0;0.0";0.016709075;"0.0;7.0";0.017927007;"0.0;7.0";0.020756881;"7.0;54.0";0.025611035;"9.0;61.0";0.029521429;"11.0;70.0";0.032697132;"14.0;72.0"
7;16;16;12;12;12;4;3.7734375;3.0234375;2.4296875;2.1484375;1.96484375;1.83203125;1.72265625;1.61328125;1.47265625;1.35546875;1.25390625;1.21484375;0.01321485;"0.0;0.0";0.015367853;"0.0;0.0";0.015454585;"0.0;0.0";0.015525716;"0.0;0.0";0.015681083;"0.0;0.0";0.015931517;"0.0;0.0";0.01691575;"0.0;0.0";0.018002224;"0.0;0.0";0.020750431;"7.0;54.0";0.025599421;"9.0;61.0";0.029514366;"11.0;70.0";0.03267378;"14.0;72.0"
8;16;15;12;12;12;5;3.7421875;3.0546875;2.4609375;2.1796875;1.98828125;1.85546875;1.74609375;1.65234375;1.51171875;1.38671875;1.28515625;1.23046875;0.012965455;"0.0;0.0";0.015123748;"0.0;0.0";0.015222033;"0.0;7.0";0.015484339;"0.0;7.0";0.01566742;"0.0;7.0";0.015925727;"0.0;7.0";0.016994772;"0.0;7.0";0.018206991;"0.0;7.0";0.020768912;"7.0;54.0";0.025613387;"9.0;61.0";0.029515107;"11.0;70.0";0.03272582;"14.0;72.0"
9;16;14.5;12;12;12;5.5;3.8828125;3.0390625;2.4765625;2.1953125;2.0078125;1.86328125;1.75390625;1.66796875;1.51953125;1.39453125;1.26953125;1.20703125;0.012606264;"0.0;0.0";0.01508118;"0.0;0.0";0.015185742;"0.0;0.0";0.015282427;"0.0;6.5";0.015453664;"0.0;6.5";0.015698741;"0.0;6.5";0.016668705;"0.0;6.5";0.017859434;"0.0;6.5";0.020202417;"7.0;53.0";0.025199401;"8.5;60.0";0.029325911;"11.0;69.5";0.03296127;"15.0;72.0"
10;16;14;14;12;12;4;3.7890625;3.0390625;2.4296875;2.1484375;1.96484375;1.83203125;1.72265625;1.62890625;1.51953125;1.41796875;1.31640625;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015425941;"0.0;0.0";0.015676736;"0.0;0.0";0.016709075;"0.0;7.0";0.017927007;"0.0;7.0";0.020756881;"7.0;54.0";0.025611035;"9.0;61.0";0.029521429;"11.0;70.0";0.032697132;"14.0;72.0"
11;16;14;16;12;12;2;3.6171875;2.9765625;2.3515625;2.1015625;1.91015625;1.78515625;1.67578125;1.57421875;1.48828125;1.39453125;1.31640625;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015426592;"0.0;0.0";0.015676591;"0.0;0.0";0.016709853;"0.0;7.0";0.017925444;"0.0;7.0";0.020762639;"7.0;54.0";0.025613432;"9.0;61.0";0.029508047;"11.0;70.0";0.032757251;"14.0;72.0"
12;16;14;18;12;12;;3.6171875;2.8984375;2.2734375;2.0234375;1.84765625;1.72265625;1.61328125;1.51953125;1.44140625;1.37109375;1.31640625;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015426157;"0.0;0.0";0.015676192;"0.0;0.0";0.016710619;"0.0;7.0";0.017928163;"0.0;7.0";0.020780575;"7.0;54.0";0.025609051;"9.0;61.0";0.029512707;"11.0;70.0";0.032716333;"14.0;72.0"
13;16;14;20;12;10;;3.5859375;2.8203125;2.2265625;1.98046875;1.81640625;1.68359375;1.55859375;1.46484375;1.39453125;1.33984375;1.30859375;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015269078;"0.0;0.0";0.015426157;"0.0;0.0";0.015676192;"0.0;0.0";0.016710619;"0.0;7.0";0.017928163;"0.0;7.0";0.020780575;"7.0;54.0";0.025609051;"9.0;61.0";0.029512707;"11.0;70.0";0.032716333;"14.0;72.0"
14;16;14;22;12;8;;3.5546875;2.7421875;2.1796875;1.93359375;1.76953125;1.62890625;1.51171875;1.41796875;1.35546875;1.30078125;1.26953125;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015267753;"0.0;0.0";0.015424509;"0.0;0.0";0.015675377;"0.0;0.0";0.016713345;"0.0;7.0";0.017925688;"0.0;7.0";0.020787044;"7.0;54.0";0.025634582;"9.0;61.0";0.02954529;"11.0;70.0";0.032807286;"14.0;72.0"
15;16;14;24;12;6;;3.4453125;2.6640625;2.1328125;1.87890625;1.70703125;1.57421875;1.46484375;1.37890625;1.31640625;1.26953125;1.23828125;;0.012954959;"0.0;0.0";0.015110948;"0.0;0.0";0.015199321;"0.0;0.0";0.015271738;"0.0;0.0";0.015428416;"0.0;0.0";0.015677219;"0.0;0.0";0.016679128;"0.0;7.0";0.017887675;"0.0;7.0";0.02080582;"7.0;54.0";0.025653599;"9.0;61.0";0.029558211;"11.0;70.0";;
16;16;14;23;12;7;;3.5234375;2.7109375;2.1640625;1.91015625;1.73828125;1.59765625;1.48828125;1.40234375;1.33203125;1.28515625;1.25390625;1.23828125;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.01526793;"0.0;0.0";0.015423903;"0.0;0.0";0.01567652;"0.0;0.0";0.016711905;"0.0;7.0";0.017923713;"0.0;7.0";0.020786824;"7.0;54.0";0.025638666;"9.0;61.0";0.02952789;"11.0;70.0";0.032817432;"14.0;72.0"
17;16;14;22.5;12;7.5;;3.5390625;2.6796875;2.1796875;1.92578125;1.76171875;1.60546875;1.48828125;1.40234375;1.33984375;1.28515625;1.25390625;1.22265625;0.012609779;"0.0;0.0";0.015087142;"0.0;0.0";0.015191487;"0.0;0.0";0.015308949;"0.0;6.5";0.015478923;"0.0;6.5";0.015722525;"0.0;6.5";0.016691919;"0.0;6.5";0.01787904;"0.0;6.5";0.020210724;"7.0;53.0";0.025190758;"8.5;60.0";0.029314564;"11.0;69.5";0.032960183;"15.0;72.0"
18;16;14;22;14;6;;3.4609375;2.6796875;2.1328125;1.88671875;1.72265625;1.59765625;1.49609375;1.41015625;1.33984375;1.29296875;1.26171875;1.24609375;0.012954959;"0.0;0.0";0.015110948;"0.0;0.0";0.015199426;"0.0;0.0";0.015267191;"0.0;0.0";0.015424109;"0.0;0.0";0.015676009;"0.0;0.0";0.01667611;"0.0;7.0";0.017892066;"0.0;7.0";0.020786356;"7.0;54.0";0.025634445;"9.0;61.0";0.029534345;"11.0;70.0";0.032765582;"14.0;72.0"
19;16;14;22;13;7;;3.5234375;2.7109375;2.1640625;1.91015625;1.75390625;1.61328125;1.50390625;1.41796875;1.34765625;1.29296875;1.26953125;1.25390625;0.012954959;"0.0;0.0";0.015112534;"0.0;0.0";0.015195865;"0.0;0.0";0.015267753;"0.0;0.0";0.015424509;"0.0;0.0";0.015675377;"0.0;0.0";0.016713345;"0.0;7.0";0.017925688;"0.0;7.0";0.020787044;"7.0;54.0";0.025634582;"9.0;61.0";0.02954529;"11.0;70.0";0.032807286;"14.0;72.0"
20;16;14;22;14;6;;3.4609375;2.6796875;2.1328125;1.88671875;1.72265625;1.59765625;1.49609375;1.41015625;1.33984375;1.29296875;1.26171875;1.24609375;0.012954959;"0.0;0.0";0.015110948;"0.0;0.0";0.015199426;"0.0;0.0";0.015267191;"0.0;0.0";0.015424109;"0.0;0.0";0.015676009;"0.0;0.0";0.01667611;"0.0;7.0";0.017892066;"0.0;7.0";0.020786356;"7.0;54.0";0.025634445;"9.0;61.0";0.029534345;"11.0;70.0";0.032765582;"14.0;72.0"
21;16;14;22;13.5;6.5;;3.5078125;2.6484375;2.1484375;1.90234375;1.73828125;1.60546875;1.48828125;1.40234375;1.33203125;1.29296875;1.25390625;1.22265625;0.012609779;"0.0;0.0";0.015087458;"0.0;0.0";0.01519386;"0.0;0.0";0.01530666;"0.0;6.5";0.01547864;"0.0;6.5";0.015723443;"0.0;6.5";0.016691426;"0.0;6.5";0.017881582;"0.0;6.5";0.020209287;"7.0;53.0";0.025197811;"8.5;60.0";0.02932052;"11.0;69.5";0.032964796;"15.0;72.0"
