,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,BF cement 2%,BF cement 4%,BF cement 6%,BF cement 8%,BF cement 10%,BF cement 12%,fos1,fos2,fos3,fos4,fos5,fos6,fos7,fos8,fos9,fos10,fos11,fos12,disp1,pos1,disp2,pos2,disp3,pos3,disp4,pos4,disp5,pos5,disp6,pos6,disp7,pos7,disp8,pos8,disp9,pos9,disp10,pos10,disp11,pos11,disp12,pos12
0,"0,0.0,,,12.0,12.0,12,12,12,12.0,3.9921875,3.3359375,2.6015625,2.3046875,2.1015625,1.94921875,1.83984375,1.74609375,1.67578125,1.62890625,1.58984375,1.52734375,0.0129595425239052,""(0.0, 0.0)"",0.0151189360227778,""(0.0, 0.0)"",0.0152022266845256,""(0.0, 0.0)"",0.0154627459868375,""(0.0, 7.0)"",0.0156503763002278,""(0.0, 7.0)"",0.0159239101256035,""(0.0, 7.0)"",0.0170095893315798,""(0.0, 7.0)"",0.0182419342944959,""(0.0, 7.0)"",0.0208631292352334,""(7.0, 54.0)"",0.0256062899732673,""(9.0, 60.0)"",0.0293813470305694,""(11.0, 70.0)"",0.0325081468237975,""(14.0, 72.0)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1,1.0,,,14.0,12.0,12,12,12,10.0,4.015625,3.2578125,2.5703125,2.2734375,2.0859375,1.93359375,1.81640625,1.73046875,1.66015625,1.58984375,1.48046875,1.39453125,0.0130903649679131,""(0.0, 0.0)"",0.0152505314955467,""(0.0, 0.0)"",0.0153477286789607,""(0.0, 1.0)"",0.015451757579239,""(0.0, 7.0)"",0.0156356916187696,""(0.0, 7.0)"",0.0159044313770447,""(0.0, 7.0)"",0.0169843710420048,""(0.0, 7.0)"",0.0182115775077816,""(0.0, 7.0)"",0.0208279652686917,""(7.0, 54.0)"",0.0256269568643331,""(9.0, 60.0)"",0.0294427744567709,""(11.0, 69.0)"",0.0325728836878842,""(14.0, 72.0)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"2,2.0,,,16.0,12.0,12,12,12,8.0,3.9765625,3.1640625,2.5390625,2.2421875,2.0546875,1.91015625,1.80078125,1.70703125,1.63671875,1.48828125,1.35546875,1.27734375,0.0129548855235459,""(0.0, 0.0)"",0.0151092376840393,""(0.0, 0.0)"",0.0151951649167051,""(0.0, 0.0)"",0.0152682777354706,""(0.0, 0.0)"",0.0154268171124106,""(0.0, 0.0)"",0.0156764417999934,""(0.0, 0.0)"",0.016683125679144,""(0.0, 7.0)"",0.0179051781972927,""(0.0, 7.0)"",0.0207602065072586,""(7.0, 54.0)"",0.0255798211607428,""(9.0, 61.0)"",0.0294872075826583,""(11.0, 69.0)"",0.0326400521075233,""(14.0, 72.0)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"3,3.0,,,18.0,12.0,12,12,12,6.0,3.8828125,3.0859375,2.4921875,2.2109375,2.0078125,1.87109375,1.76171875,1.68359375,1.54296875,1.36328125,1.25390625,1.18359375,0.0129582398082464,""(0.0, 0.0)"",0.0151175673874215,""(0.0, 0.0)"",0.0152036633901088,""(0.0, 0.0)"",0.0154175184459252,""(0.0, 7.0)"",0.015596191214461,""(0.0, 7.0)"",0.015851141218513,""(0.0, 7.0)"",0.0169008568627567,""(0.0, 7.0)"",0.0181109821513851,""(0.0, 7.0)"",0.0207281827708591,""(7.0, 54.0)"",0.0255427848730766,""(9.0, 61.0)"",0.0296998472224834,""(11.0, 70.0)"",0.0329408520565403,""(14.0, 72.0)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4,4.0,,,17.0,12.0,12,12,12,7.0,3.8671875,3.1328125,2.5234375,2.2265625,2.0390625,1.89453125,1.78515625,1.69140625,1.58984375,1.42578125,1.30078125,1.23046875,0.0130889323459763,""(0.0, 0.0)"",0.0152488407852766,""(0.0, 0.0)"",0.0153340165517589,""(0.0, 0.0)"",0.0154485474014056,""(0.0, 7.0)"",0.0156328400443373,""(0.0, 7.0)"",0.0158882219157899,""(0.0, 7.0)"",0.0169463916088101,""(0.0, 7.0)"",0.0181578498603627,""(0.0, 7.0)"",0.0207412559061514,""(7.0, 54.0)"",0.0255695626774727,""(9.0, 61.0)"",0.0295725295557408,""(11.0, 70.0)"",0.0328208760407068,""(14.0, 72.0)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,16.5,12.0,12.0,12.0,12.0,7.5,3.9765625,3.0546875,2.5234375,2.2421875,2.0546875,1.90234375,1.79296875,1.70703125,1.61328125,1.45703125,1.30078125,1.23046875,0.012489617519827413,"(0.0, 0.0)",0.014964682844591612,"(0.0, 0.0)",0.015071455183915875,"(0.0, 0.0)",0.015266282391777963,"(0.0, 6.5)",0.01543547537797208,"(0.0, 6.5)",0.015681059678827807,"(0.0, 6.5)",0.01664468521801475,"(0.0, 6.5)",0.017835875814765152,"(0.0, 6.5)",0.0201624377299987,"(7.0, 53.0)",0.02513313487108582,"(8.5, 60.0)",0.029257342193528393,"(11.0, 69.5)",0.03291702543424651,"(15.0, 72.0)"
6,,,,,16.0,14.0,12.0,12.0,12.0,6.0,3.8828125,3.0859375,2.4921875,2.2109375,2.0078125,1.87109375,1.76171875,1.67578125,1.54296875,1.41796875,1.30859375,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.015425941348475362,"(0.0, 0.0)",0.01567673646639825,"(0.0, 0.0)",0.016709075311672282,"(0.0, 7.0)",0.01792700704371363,"(0.0, 7.0)",0.02075688052363775,"(7.0, 54.0)",0.025611035142163906,"(9.0, 61.0)",0.029521428625292785,"(11.0, 70.0)",0.03269713244206452,"(14.0, 72.0)"
7,,,,,16.0,16.0,12.0,12.0,12.0,4.0,3.7734375,3.0234375,2.4296875,2.1484375,1.96484375,1.83203125,1.72265625,1.61328125,1.47265625,1.35546875,1.25390625,1.21484375,0.01321484995185824,"(0.0, 0.0)",0.015367852901324357,"(0.0, 0.0)",0.01545458471813682,"(0.0, 0.0)",0.015525715728728564,"(0.0, 0.0)",0.015681083322098565,"(0.0, 0.0)",0.01593151698415446,"(0.0, 0.0)",0.016915750361297197,"(0.0, 0.0)",0.018002223693877297,"(0.0, 0.0)",0.020750431388980507,"(7.0, 54.0)",0.025599421434503125,"(9.0, 61.0)",0.029514365598284513,"(11.0, 70.0)",0.03267378010432294,"(14.0, 72.0)"
8,,,,,16.0,15.0,12.0,12.0,12.0,5.0,3.7421875,3.0546875,2.4609375,2.1796875,1.98828125,1.85546875,1.74609375,1.65234375,1.51171875,1.38671875,1.28515625,1.23046875,0.012965454723989595,"(0.0, 0.0)",0.015123748050492321,"(0.0, 0.0)",0.015222033060944624,"(0.0, 7.0)",0.015484338529582937,"(0.0, 7.0)",0.015667419817577122,"(0.0, 7.0)",0.01592572708719436,"(0.0, 7.0)",0.016994771525762883,"(0.0, 7.0)",0.018206990606143766,"(0.0, 7.0)",0.020768912427019576,"(7.0, 54.0)",0.025613386948864662,"(9.0, 61.0)",0.02951510689982148,"(11.0, 70.0)",0.03272581951855329,"(14.0, 72.0)"
9,,,,,16.0,14.5,12.0,12.0,12.0,5.5,3.8828125,3.0390625,2.4765625,2.1953125,2.0078125,1.86328125,1.75390625,1.66796875,1.51953125,1.39453125,1.26953125,1.20703125,0.01260626438073663,"(0.0, 0.0)",0.01508117985137717,"(0.0, 0.0)",0.015185741994519697,"(0.0, 0.0)",0.015282426754269733,"(0.0, 6.5)",0.015453663669368397,"(0.0, 6.5)",0.015698740704617624,"(0.0, 6.5)",0.01666870519711959,"(0.0, 6.5)",0.017859434446628887,"(0.0, 6.5)",0.02020241685092411,"(7.0, 53.0)",0.025199400505783297,"(8.5, 60.0)",0.02932591123123199,"(11.0, 69.5)",0.0329612703035445,"(15.0, 72.0)"
10,,,,,16.0,14.0,14.0,12.0,12.0,4.0,3.7890625,3.0390625,2.4296875,2.1484375,1.96484375,1.83203125,1.72265625,1.62890625,1.51953125,1.41796875,1.31640625,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.015425941348475362,"(0.0, 0.0)",0.01567673646639825,"(0.0, 0.0)",0.016709075311672282,"(0.0, 7.0)",0.01792700704371363,"(0.0, 7.0)",0.02075688052363775,"(7.0, 54.0)",0.025611035142163906,"(9.0, 61.0)",0.029521428625292785,"(11.0, 70.0)",0.03269713244206452,"(14.0, 72.0)"
11,,,,,16.0,14.0,16.0,12.0,12.0,2.0,3.6171875,2.9765625,2.3515625,2.1015625,1.91015625,1.78515625,1.67578125,1.57421875,1.48828125,1.39453125,1.31640625,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.01542659162867165,"(0.0, 0.0)",0.0156765911222595,"(0.0, 0.0)",0.016709852716331,"(0.0, 7.0)",0.01792544412992102,"(0.0, 7.0)",0.020762639097412248,"(7.0, 54.0)",0.025613431631372148,"(9.0, 61.0)",0.029508047106886804,"(11.0, 70.0)",0.03275725097293447,"(14.0, 72.0)"
12,,,,,16.0,14.0,18.0,12.0,12.0,,3.6171875,2.8984375,2.2734375,2.0234375,1.84765625,1.72265625,1.61328125,1.51953125,1.44140625,1.37109375,1.31640625,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.015426157412510478,"(0.0, 0.0)",0.015676192495102267,"(0.0, 0.0)",0.01671061941569606,"(0.0, 7.0)",0.017928163267178346,"(0.0, 7.0)",0.02078057492639384,"(7.0, 54.0)",0.025609051393688378,"(9.0, 61.0)",0.02951270696530051,"(11.0, 70.0)",0.03271633324457844,"(14.0, 72.0)"
13,,,,,16.0,14.0,20.0,12.0,10.0,,3.5859375,2.8203125,2.2265625,1.98046875,1.81640625,1.68359375,1.55859375,1.46484375,1.39453125,1.33984375,1.30859375,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015269078415338028,"(0.0, 0.0)",0.015426157412510478,"(0.0, 0.0)",0.015676192495102267,"(0.0, 0.0)",0.01671061941569606,"(0.0, 7.0)",0.017928163267178346,"(0.0, 7.0)",0.02078057492639384,"(7.0, 54.0)",0.025609051393688378,"(9.0, 61.0)",0.02951270696530051,"(11.0, 70.0)",0.03271633324457844,"(14.0, 72.0)"
14,,,,,16.0,14.0,22.0,12.0,8.0,,3.5546875,2.7421875,2.1796875,1.93359375,1.76953125,1.62890625,1.51171875,1.41796875,1.35546875,1.30078125,1.26953125,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015267753429692617,"(0.0, 0.0)",0.015424509069744895,"(0.0, 0.0)",0.01567537743470924,"(0.0, 0.0)",0.016713345221014423,"(0.0, 7.0)",0.017925688392288766,"(0.0, 7.0)",0.020787043867976834,"(7.0, 54.0)",0.02563458184904404,"(9.0, 61.0)",0.029545290232327423,"(11.0, 70.0)",0.032807285523236064,"(14.0, 72.0)"
15,,,,,16.0,14.0,24.0,12.0,6.0,,3.4453125,2.6640625,2.1328125,1.87890625,1.70703125,1.57421875,1.46484375,1.37890625,1.31640625,1.26953125,1.23828125,,0.012954959151659244,"(0.0, 0.0)",0.015110947655756721,"(0.0, 0.0)",0.015199320869373726,"(0.0, 0.0)",0.015271737528317788,"(0.0, 0.0)",0.015428415920233989,"(0.0, 0.0)",0.015677218522299433,"(0.0, 0.0)",0.01667912803239041,"(0.0, 7.0)",0.01788767457465323,"(0.0, 7.0)",0.020805820348344363,"(7.0, 54.0)",0.025653599384003394,"(9.0, 61.0)",0.029558210757299423,"(11.0, 70.0)",,
16,,,,,16.0,14.0,23.0,12.0,7.0,,3.5234375,2.7109375,2.1640625,1.91015625,1.73828125,1.59765625,1.48828125,1.40234375,1.33203125,1.28515625,1.25390625,1.23828125,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015267929786080919,"(0.0, 0.0)",0.015423903125534846,"(0.0, 0.0)",0.01567652010719314,"(0.0, 0.0)",0.01671190452037861,"(0.0, 7.0)",0.017923713163436352,"(0.0, 7.0)",0.02078682432653043,"(7.0, 54.0)",0.02563866564751526,"(9.0, 61.0)",0.029527889753572182,"(11.0, 70.0)",0.03281743170538812,"(14.0, 72.0)"
17,,,,,16.0,14.0,22.5,12.0,7.5,,3.5390625,2.6796875,2.1796875,1.92578125,1.76171875,1.60546875,1.48828125,1.40234375,1.33984375,1.28515625,1.25390625,1.22265625,0.0126097790337607,"(0.0, 0.0)",0.01508714173392282,"(0.0, 0.0)",0.015191487303966302,"(0.0, 0.0)",0.015308948939495026,"(0.0, 6.5)",0.015478923320232665,"(0.0, 6.5)",0.015722525442110672,"(0.0, 6.5)",0.016691919294704118,"(0.0, 6.5)",0.0178790402157485,"(0.0, 6.5)",0.02021072421102998,"(7.0, 53.0)",0.02519075809644087,"(8.5, 60.0)",0.02931456411609116,"(11.0, 69.5)",0.032960183471105076,"(15.0, 72.0)"
18,,,,,16.0,14.0,22.0,14.0,6.0,,3.4609375,2.6796875,2.1328125,1.88671875,1.72265625,1.59765625,1.49609375,1.41015625,1.33984375,1.29296875,1.26171875,1.24609375,0.012954959151659244,"(0.0, 0.0)",0.015110947655756721,"(0.0, 0.0)",0.015199425711576951,"(0.0, 0.0)",0.015267190557496707,"(0.0, 0.0)",0.015424109095693484,"(0.0, 0.0)",0.015676009113284987,"(0.0, 0.0)",0.016676110376962084,"(0.0, 7.0)",0.017892065705418052,"(0.0, 7.0)",0.02078635564359296,"(7.0, 54.0)",0.025634444558464836,"(9.0, 61.0)",0.029534344755821302,"(11.0, 70.0)",0.0327655822532782,"(14.0, 72.0)"
19,,,,,16.0,14.0,22.0,13.0,7.0,,3.5234375,2.7109375,2.1640625,1.91015625,1.75390625,1.61328125,1.50390625,1.41796875,1.34765625,1.29296875,1.26953125,1.25390625,0.012954959151659244,"(0.0, 0.0)",0.015112534182204465,"(0.0, 0.0)",0.0151958652344786,"(0.0, 0.0)",0.015267753429692617,"(0.0, 0.0)",0.015424509069744895,"(0.0, 0.0)",0.01567537743470924,"(0.0, 0.0)",0.016713345221014423,"(0.0, 7.0)",0.017925688392288766,"(0.0, 7.0)",0.020787043867976834,"(7.0, 54.0)",0.02563458184904404,"(9.0, 61.0)",0.029545290232327423,"(11.0, 70.0)",0.032807285523236064,"(14.0, 72.0)"
20,,,,,16.0,14.0,22.0,14.0,6.0,,3.4609375,2.6796875,2.1328125,1.88671875,1.72265625,1.59765625,1.49609375,1.41015625,1.33984375,1.29296875,1.26171875,1.24609375,0.012954959151659244,"(0.0, 0.0)",0.015110947655756721,"(0.0, 0.0)",0.015199425711576951,"(0.0, 0.0)",0.015267190557496707,"(0.0, 0.0)",0.015424109095693484,"(0.0, 0.0)",0.015676009113284987,"(0.0, 0.0)",0.016676110376962084,"(0.0, 7.0)",0.017892065705418052,"(0.0, 7.0)",0.02078635564359296,"(7.0, 54.0)",0.025634444558464836,"(9.0, 61.0)",0.029534344755821302,"(11.0, 70.0)",0.0327655822532782,"(14.0, 72.0)"
21,,,,,16.0,14.0,22.0,13.5,6.5,,3.5078125,2.6484375,2.1484375,1.90234375,1.73828125,1.60546875,1.48828125,1.40234375,1.33203125,1.29296875,1.25390625,1.22265625,0.0126097790337607,"(0.0, 0.0)",0.015087458119217238,"(0.0, 0.0)",0.01519386016655316,"(0.0, 0.0)",0.015306660456879796,"(0.0, 6.5)",0.015478640100767787,"(0.0, 6.5)",0.015723442571332243,"(0.0, 6.5)",0.016691425683522044,"(0.0, 6.5)",0.017881581995980406,"(0.0, 6.5)",0.020209287302743607,"(7.0, 53.0)",0.025197811301293616,"(8.5, 60.0)",0.029320519626621036,"(11.0, 69.5)",0.03296479612157999,"(15.0, 72.0)"
